ID|TYPE|NAMERING|LEGRING|RINGSTART|RINGEND|RINGNOTUSEDREASON|NEWLEGRING|RINGVERIFICATION|DIARIO|RINGER|MEASURER|INTERMEDIARYRINGER|LAYMANID|EVENTDATE|EVENTDATEACCURACY|HOUR|EURINGPROVINCECODE|SCHEMEID|MUNICIPALITY|BIRDSTATION|LOCALITY|PERSONALPLACENAME|COORDINATESYSTEM|COORDINATEACCURACY|COORDINATEMEASUREMENTMETHOD|SOURCEOFRECOVERY|CAPTUREMETHOD|RINGSATTACHED|RECOVERYMETHOD|RECOVERYMETHODACCURACY|BIRDCONDITIONEURING|BIRDMOVED|NOTES|HIDDENNOTES|SPECIES|SPECIESACCURACY|BIRDCONDITION|BIRDACTIVITIES|AGE|AGEDETERMINATIONMETHOD|SEX|SEXDETERMINATIONMETHOD|WEIGHTINGRAMS|WINGLENGTHACCURACY|THIRDFEATHERLENGTHINMILLIS|MOULTING|LEGACYFAT|FAT|FATACCURACY|MUSCLEFITNESS|MUSCLEFITNESSACCURACY|BROODPATCH|CLUTCHNUMBER|CLUTCHNUMBEROWNER|NUMBEROFYOUNGS|AGEOFYOUNGSINDAYS|AGEOFYOUNGSACCURACY|ATTACHMENTPOINT|FIELDREADABLECODE|MAINCOLOR|CODECOLOR|CODEALIGN|UPSIDEDOWN|METALRINGCOLOR|ATTACHMENTLEFTRIGHT|MAINSHADE|ACCURACYOFCOLORS|NUMBEROFSIGHTNINGS|FIELDREADABLECHANGES|REMOVEDFIELDREADABLECODE|REMOVEDFIELDREADABLEMAINCOLOR|FIELDREADABLENOTES|ADDITIONALINFORMATIONCODE|FIELDREADABLECHANGEEURINGCODE|LEGACYSOMETHINGUNCERTAIN|CREATED|UNIFORMLAT|UNIFORMLON|EUREFLAT|EUREFLON|WGS84DECIMALLAT|WGS84DECIMALLON|WGS84DEGREELAT|WGS84DEGREELON|DISTANCETORINGINGINKILOMETERS|DIRECTIONTORINGINGINDEGREES|TIMETORINGINGINDAYS|BIOMETRICNOTES|HIRRUSBROODPATCH|HIRRUSLONGESTMIDDLERECTRIX|HIRRUSOUTMOSTLEFTRECTRIX|HIRRUSOUTMOSTRIGHTRECTRIX|HIRRUSTAILNOTCHDEEPNESS|HIRRUSBODYMOULTING|HIRRUSTENTHREMIGES|HIRRUSNINTHREMIGES|HIRRUSEIGHTREMIGES|HIRRUSNOTES|FIELDREADABLECONDITION|COLONYPAIRCOUNT|COLONYPAIRCOUNTACCURACY|COLONYSIZEINMETERS|COLONYNOTES|BATCAPTUREPLACE|BATAGE|BATAGEDETERMINATIONMETHOD|BATRIGHTARMLENGTHINMILLIS|BATLEFTARMLENGTHINMILLIS|BATFIFTHFINGERINMILLIS|BATREPRODUCTIVESTAGE|BATHIBERNATION|WINGWEAR|WINGLENGTHABNORMALITYREASON|EGGINSIDE|CLOACASIZE|CLOACASTATUS|SICKNESSNOTES|FAULTBARS|INJURIESNOTES|MOULTSTATUS|TER1MOULT|TER2MOULT|TER3MOULT|SEC6MOULT|SEC5MOULT|SEC4MOULT|SEC3MOULT|SEC2MOULT|SEC1MOULT|PRIM1MOULT|PRIM2MOULT|PRIM3MOULT|PRIM4MOULT|PRIM5MOULT|PRIM6MOULT|PRIM7MOULT|PRIM8MOULT|PRIM9MOULT|PRIM10MOULT|REC1MOULT|REC2MOULT|REC3MOULT|REC4MOULT|REC5MOULT|REC6MOULT|BODYFEATHERSMOULTINTENSITY|BODYFEATHERSMOULTPROGRESS|TARSUSLENGTHTOES|TARSUSLENGTHLASTSCALE|TARSUSDIAMETER|NAILLENGTH|PRIM1WINGFORMULA|PRIM2WINGFORMULA|PRIM3WINGFORMULA|PRIM4WINGFORMULA|PRIM5WINGFORMULA|PRIM6WINGFORMULA|PRIM7WINGFORMULA|PRIM8WINGFORMULA|PRIM9WINGFORMULA|PRIM10WINGFORMULA|OUTERSECONDARYWINGFORMULA|PRIM2EMARGINATION|TAILLENGTH|TAILLENTHVERTICAL|MOULTINGALULALEFT|MOULTINGALULARIGHT|MOULTINGCARPILEFT|MOULTINGCARPIRIGHT|MOULTINGBICOVERTSLEFT|MOULTINGBICOVERTSRIGHT|MOULTINGTETRIALLEFT|MOULTINGTETRIALRIGHT|MOULTINGTAILLEFT|MOULTINGTAILRIGHT|BEAKLENGTHSKULL|BEAKLENGTHFEATHERS|BEAKLENGTHNOSTRIL|HEADBEAKLENGTH|BEAKHEIGHT|BEAKWIDTH|FICHYPDROST|PYRPYRTAILSPOTS|FLEAS|LICES|SARCOPTICMANGES|POXVIRUS|PARASITENOTES|MITES|BIRDSFLIES|PARASITESAMPLES|MODIFIED|MODIFIEDBY|CUSTOMFIELD1|CUSTOMVALUE1|CUSTOMFIELD2|CUSTOMVALUE2|CUSTOMFIELD3|CUSTOMVALUE3|CUSTOMFIELD4|CUSTOMVALUE4|CUSTOMFIELD5|CUSTOMVALUE5|CUSTOMFIELD6|CUSTOMVALUE6|CUSTOMFIELD7|CUSTOMVALUE7|CUSTOMFIELD8|CUSTOMVALUE8|WINGLENGTHINMILLIMETERS|WINGLENGTHMINMEASUREMENT|MINUTE|PRIM10DISTANCEPCWINGFORMULA|INTERESTINGRECOVERY|VALIDFORLONGEVITY|NOLETTER|LEGACYWING|LEGACYWINGMIN|WINGLENGTHOTHERMETHOD|WINGLENGTHNOTES|NETID|FOREIGNRINGSCHEME|FOREIGNRING|FOREIGNRINGNOTES|NESTBOXID|WADERSANKLETTOE|WADERSFAT||ID.RINGING|TYPE.RINGING|NAMERING.RINGING|LEGRING.RINGING|RINGSTART.RINGING|RINGEND.RINGING|RINGNOTUSEDREASON.RINGING|NEWLEGRING.RINGING|RINGVERIFICATION.RINGING|DIARIO.RINGING|RINGER.RINGING|MEASURER.RINGING|INTERMEDIARYRINGER.RINGING|LAYMANID.RINGING|EVENTDATE.RINGING|EVENTDATEACCURACY.RINGING|HOUR.RINGING|EURINGPROVINCECODE.RINGING|SCHEMEID.RINGING|MUNICIPALITY.RINGING|BIRDSTATION.RINGING|LOCALITY.RINGING|PERSONALPLACENAME.RINGING|COORDINATESYSTEM.RINGING|COORDINATEACCURACY.RINGING|COORDINATEMEASUREMENTMETHOD.RINGING|SOURCEOFRECOVERY.RINGING|CAPTUREMETHOD.RINGING|RINGSATTACHED.RINGING|RECOVERYMETHOD.RINGING|RECOVERYMETHODACCURACY.RINGING|BIRDCONDITIONEURING.RINGING|BIRDMOVED.RINGING|NOTES.RINGING|HIDDENNOTES.RINGING|SPECIES.RINGING|SPECIESACCURACY.RINGING|BIRDCONDITION.RINGING|BIRDACTIVITIES.RINGING|AGE.RINGING|AGEDETERMINATIONMETHOD.RINGING|SEX.RINGING|SEXDETERMINATIONMETHOD.RINGING|WEIGHTINGRAMS.RINGING|WINGLENGTHACCURACY.RINGING|THIRDFEATHERLENGTHINMILLIS.RINGING|MOULTING.RINGING|LEGACYFAT.RINGING|FAT.RINGING|FATACCURACY.RINGING|MUSCLEFITNESS.RINGING|MUSCLEFITNESSACCURACY.RINGING|BROODPATCH.RINGING|CLUTCHNUMBER.RINGING|CLUTCHNUMBEROWNER.RINGING|NUMBEROFYOUNGS.RINGING|AGEOFYOUNGSINDAYS.RINGING|AGEOFYOUNGSACCURACY.RINGING|ATTACHMENTPOINT.RINGING|FIELDREADABLECODE.RINGING|MAINCOLOR.RINGING|CODECOLOR.RINGING|CODEALIGN.RINGING|UPSIDEDOWN.RINGING|METALRINGCOLOR.RINGING|ATTACHMENTLEFTRIGHT.RINGING|MAINSHADE.RINGING|ACCURACYOFCOLORS.RINGING|NUMBEROFSIGHTNINGS.RINGING|FIELDREADABLECHANGES.RINGING|REMOVEDFIELDREADABLECODE.RINGING|REMOVEDFIELDREADABLEMAINCOLOR.RINGING|FIELDREADABLENOTES.RINGING|ADDITIONALINFORMATIONCODE.RINGING|FIELDREADABLECHANGEEURINGCODE.RINGING|LEGACYSOMETHINGUNCERTAIN.RINGING|CREATED.RINGING|UNIFORMLAT.RINGING|UNIFORMLON.RINGING|EUREFLAT.RINGING|EUREFLON.RINGING|WGS84DECIMALLAT.RINGING|WGS84DECIMALLON.RINGING|WGS84DEGREELAT.RINGING|WGS84DEGREELON.RINGING|DISTANCETORINGINGINKILOMETERS.RINGING|DIRECTIONTORINGINGINDEGREES.RINGING|TIMETORINGINGINDAYS.RINGING|BIOMETRICNOTES.RINGING|HIRRUSBROODPATCH.RINGING|HIRRUSLONGESTMIDDLERECTRIX.RINGING|HIRRUSOUTMOSTLEFTRECTRIX.RINGING|HIRRUSOUTMOSTRIGHTRECTRIX.RINGING|HIRRUSTAILNOTCHDEEPNESS.RINGING|HIRRUSBODYMOULTING.RINGING|HIRRUSTENTHREMIGES.RINGING|HIRRUSNINTHREMIGES.RINGING|HIRRUSEIGHTREMIGES.RINGING|HIRRUSNOTES.RINGING|FIELDREADABLECONDITION.RINGING|COLONYPAIRCOUNT.RINGING|COLONYPAIRCOUNTACCURACY.RINGING|COLONYSIZEINMETERS.RINGING|COLONYNOTES.RINGING|BATCAPTUREPLACE.RINGING|BATAGE.RINGING|BATAGEDETERMINATIONMETHOD.RINGING|BATRIGHTARMLENGTHINMILLIS.RINGING|BATLEFTARMLENGTHINMILLIS.RINGING|BATFIFTHFINGERINMILLIS.RINGING|BATREPRODUCTIVESTAGE.RINGING|BATHIBERNATION.RINGING|WINGWEAR.RINGING|WINGLENGTHABNORMALITYREASON.RINGING|EGGINSIDE.RINGING|CLOACASIZE.RINGING|CLOACASTATUS.RINGING|SICKNESSNOTES.RINGING|FAULTBARS.RINGING|INJURIESNOTES.RINGING|MOULTSTATUS.RINGING|TER1MOULT.RINGING|TER2MOULT.RINGING|TER3MOULT.RINGING|SEC6MOULT.RINGING|SEC5MOULT.RINGING|SEC4MOULT.RINGING|SEC3MOULT.RINGING|SEC2MOULT.RINGING|SEC1MOULT.RINGING|PRIM1MOULT.RINGING|PRIM2MOULT.RINGING|PRIM3MOULT.RINGING|PRIM4MOULT.RINGING|PRIM5MOULT.RINGING|PRIM6MOULT.RINGING|PRIM7MOULT.RINGING|PRIM8MOULT.RINGING|PRIM9MOULT.RINGING|PRIM10MOULT.RINGING|REC1MOULT.RINGING|REC2MOULT.RINGING|REC3MOULT.RINGING|REC4MOULT.RINGING|REC5MOULT.RINGING|REC6MOULT.RINGING|BODYFEATHERSMOULTINTENSITY.RINGING|BODYFEATHERSMOULTPROGRESS.RINGING|TARSUSLENGTHTOES.RINGING|TARSUSLENGTHLASTSCALE.RINGING|TARSUSDIAMETER.RINGING|NAILLENGTH.RINGING|PRIM1WINGFORMULA.RINGING|PRIM2WINGFORMULA.RINGING|PRIM3WINGFORMULA.RINGING|PRIM4WINGFORMULA.RINGING|PRIM5WINGFORMULA.RINGING|PRIM6WINGFORMULA.RINGING|PRIM7WINGFORMULA.RINGING|PRIM8WINGFORMULA.RINGING|PRIM9WINGFORMULA.RINGING|PRIM10WINGFORMULA.RINGING|OUTERSECONDARYWINGFORMULA.RINGING|PRIM2EMARGINATION.RINGING|TAILLENGTH.RINGING|TAILLENTHVERTICAL.RINGING|MOULTINGALULALEFT.RINGING|MOULTINGALULARIGHT.RINGING|MOULTINGCARPILEFT.RINGING|MOULTINGCARPIRIGHT.RINGING|MOULTINGBICOVERTSLEFT.RINGING|MOULTINGBICOVERTSRIGHT.RINGING|MOULTINGTETRIALLEFT.RINGING|MOULTINGTETRIALRIGHT.RINGING|MOULTINGTAILLEFT.RINGING|MOULTINGTAILRIGHT.RINGING|BEAKLENGTHSKULL.RINGING|BEAKLENGTHFEATHERS.RINGING|BEAKLENGTHNOSTRIL.RINGING|HEADBEAKLENGTH.RINGING|BEAKHEIGHT.RINGING|BEAKWIDTH.RINGING|FICHYPDROST.RINGING|PYRPYRTAILSPOTS.RINGING|FLEAS.RINGING|LICES.RINGING|SARCOPTICMANGES.RINGING|POXVIRUS.RINGING|PARASITENOTES.RINGING|MITES.RINGING|BIRDSFLIES.RINGING|PARASITESAMPLES.RINGING|MODIFIED.RINGING|MODIFIEDBY.RINGING|CUSTOMFIELD1.RINGING|CUSTOMVALUE1.RINGING|CUSTOMFIELD2.RINGING|CUSTOMVALUE2.RINGING|CUSTOMFIELD3.RINGING|CUSTOMVALUE3.RINGING|CUSTOMFIELD4.RINGING|CUSTOMVALUE4.RINGING|CUSTOMFIELD5.RINGING|CUSTOMVALUE5.RINGING|CUSTOMFIELD6.RINGING|CUSTOMVALUE6.RINGING|CUSTOMFIELD7.RINGING|CUSTOMVALUE7.RINGING|CUSTOMFIELD8.RINGING|CUSTOMVALUE8.RINGING|WINGLENGTHINMILLIMETERS.RINGING|WINGLENGTHMINMEASUREMENT.RINGING|MINUTE.RINGING|PRIM10DISTANCEPCWINGFORMULA.RINGING|INTERESTINGRECOVERY.RINGING|VALIDFORLONGEVITY.RINGING|NOLETTER.RINGING|LEGACYWING.RINGING|LEGACYWINGMIN.RINGING|WINGLENGTHOTHERMETHOD.RINGING|WINGLENGTHNOTES.RINGING|NETID.RINGING|FOREIGNRINGSCHEME.RINGING|FOREIGNRING.RINGING|FOREIGNRINGNOTES.RINGING|NESTBOXID.RINGING|WADERSANKLETTOE.RINGING|WADERSFAT.RINGING|
9254646|recovery|V 0193148|V 0193148||||  789892 ||176025|||||1985-08-29|0||ET00|ETM|||||WGS84-DMS|1000||2|||20|0|8||RING MATSALU 789892 ADDED CAUGHT ALSO 05.09.85||ACRSCI|P|||1|||||||||||||||||||||||||||||||||||0|||||||57.9|22.05|575400|220300|301|213|26||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1007284|ringing|V 0193148|V 0193148|V 0193148|||V 0193148|||809||||1985-08-03||8|SF87||ESPOO||||YKJ|100|||L||||||||ACRSCI||||1|K|||12.3||||0||||||||||||||||||||||||||||||6678200|3379200|6675397|379080|60.19743244|24.81882822|601150|244907||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||65|||||||65|||||||||||
9257246|recovery|V 0223873|V 0223873||||||136360|||||1984-08-31|0||FR34|FRP|||||WGS84-DMS|1000||2|||20|0|8||||ACRSCI||||2||||11|||||||||||||||||||||||||||||||0|||||||44.983333333|-1.083333333|445900|-10500|2397|230|32|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||67|||||||67||||||||||||1019868|ringing|V 0223873|V 0223873|V 0223873|||V 0223873|||527||||1984-07-30||8|SF86||LAVIA||||YKJ|100|||W||||||||ACRSCI||||1|K|||11.2||||0||||||||||||||||||||||||||||||6842200|3261800|6839330|261726|61.61328503|22.50512637|613647|223018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||68|||||||68|||||||||||
9267544|recovery|V 0274812|V 0274812||||||176572|||||1985-09-19|0||FR31|FRP|||||WGS84-DMS|1000||2|||20|0|8||||ACRSCI|P||||||||||||||||||||||||||||||||||||||0|||||||45.5|-.833333333|453000|-5000|2346|237|45|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all||||||||||||||||||||||||||||||||||||1034958|ringing|V 0274812|V 0274812|V 0274812|||V 0274812|||588||||1985-08-05||7|SF87||ESPOO||||YKJ|100|||L||||||||ACRSCI||||1|K|||11.7||||0||||||||||||||||||||||||||||||6678200|3379200|6675397|379080|60.19743244|24.81882822|601150|244907||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||65|||||||65|||||||||||
9262430|recovery|V 0323470|V 0323470||||||324735|||||1992-05-15|0||RU04|RUM|||||WGS84-DMS|1000||2|V||20|0|8||*||ACRSCI||||||||12.1|||||||||||||||||||||||||||||||0|||||||55.133333333|20.7|550800|204200|614|205|2457|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||68|||||||68||||||||||||1058138|ringing|V 0323470|V 0323470|V 0323470|||V 0323470|||813||||1985-08-23||6|SF87||ESPOO||||YKJ|100|||W||||||||ACRSCI||||1|K|||12.7||||2||||||||||||||||||||||||||||||6678300|3379200|6675497|379080|60.19832933|24.81876867|601153|244907||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||67|||||||67|||||||||||
9263624|recovery|V 0323674|V 0323674||||VE0003195||171440|||||1985-10-17|0||LI00|LIK|||||WGS84-DMS|1000||2|||20|0|8||RING LITUANIA VE3195 ADDED||ACRSCI|P|||1|||||||||||||||||||||||||||||||||||0|||||||55.35|21.216666667|552100|211300|636|200|35|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all||||||||||||||||||||||||||||||||||||1058886|ringing|V 0323674|V 0323674|V 0323674|||V 0323674|||598||||1985-09-12||7|SF80||JANAKK||||YKJ|100|||W||||||||ACRSCI||||1|K|||11.5||||0||||||||||||||||||||||||||||||6744800|3368500|6741970|368384|60.79132865|24.58199668|604728|243455||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||68|||||||68|||||||||||
9271887|recovery|V 0395651|V 0395651|||||T|178686|||||1985-09-26|9||IA14|IAB|||||WGS84-DMS|1000||2|||43|0|1|||||||||||||||||||||||||||||||||||||||||||0|||||||44.833333333|10.983333333|445000|105900|1904|210|30|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all||||||||||||||||||||||||||||||||||||1085555|ringing|V 0395651|V 0395651|V 0395651|V 0395657||V 0395651|||447||||1985-08-27|||SF86||HALIKK||||WGS84-DMS|1000|||V||||||||ACRSCI|||O|1|K|||||||||||||||||||||||||||||||||||||6701480|3284128|6698667|284046|60.366666667|23.083333333|602200|230500||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||||||||||||||||||||
9273097|recovery|V 0404671|V 0404671||||||347565|||||1992-09-19|0||PO92|POL|||||WGS84-DMS|1000||2|||20|0|8||||ACRSCI||||||||10.7|||||||||||||||||||||||||||||||0|||||||38.05|-8.816666667|380300|-84900|3425|239|1860|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||66|||||||66||||||||||||1090223|ringing|V 0404671|V 0404671|V 0404671|||V 0404671|||858||||1987-08-17||7|SF87||SIPOO||||YKJ|100|||W||||||||ACRSCI||||1|K|||10.7||||0||||||||||||||||||||||||||||||6683800|3400600|6680995|400471|60.25345391|25.20169165|601512|251206||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||65|||||||65|||||||||||
9274404|recovery|V 0411705|V 0411705||||||200375|||||1987-06-01|4||MA00||||||WGS84-DMS|1000||2|||1|0|1|||||||||||||||||||||||||||||||||||||||||||0|||||||33.316666667|-8.583333333|331900|-83500|3845|234|298|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all||||||||||||||||||||||||||||||||||||1091377|ringing|V 0411705|V 0411705|V 0411705|||V 0411705|||888||||1986-08-07||7|SF87||ESPOO||||YKJ|100|||L||||||||ACRSCI||||1|V|||12.3||||1||||||||||||||||||||||||||||||6678200|3379200|6675397|379080|60.19743244|24.81882822|601150|244907||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||67|||||||67|||||||||||
9290495|recovery|V 0495785|V 0495785||||||402909|||||1994-08-25|0|16|ET00|ETM|||||WGS84-DMS|1000||2|V||20|0|8||16 HOURS, FAT 3, 3. PRIMARY 51||ACRSCI||||+1||||13.3||||3|||||||||||||||||||||||||||0|||||||58.183333333|24.483333333|581100|242900|407|156|2570|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||67|||||||67||||||||||||1126457|ringing|V 0495785|V 0495785|V 0495785|||V 0495785|||854||||1987-08-12||8|SF86||PORI||||YKJ|100|||W||||||||ACRSCI||||1|V|||12.2||||0||||||||||||||||||||||||||||||6839300|3216200|6836430|216145|61.5564903|21.653795711|613323|213913||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||67|||||||67|||||||||||
9290089|recovery|V 0498137|V 0498137||||||200179|||||1987-06-01|0||SV41|SVS|||||WGS84-DMS|1000||2|||20|0|8||||ACRSCI|P|||+1|||||||||||||||||||||||||||||||||||0|||||||55.95|15.7|555700|154200|629|217|334|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all||||||||||||||||||||||||||||||||||||1127185|ringing|V 0498137|V 0498137|V 0498137|V 0498138||V 0498137|||86||||1986-07-02||22|SF86||MIETOI||||WGS84-DMS|1000|||V||||||||ACRSCI||||+1||K||||||||||||||||||||||||||||||||||||6734176|3215629|6731349|215575|60.616666667|21.8|603700|214800||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||||||||||||||||||||
9282709|recovery|V 0534311|V 0534311||||||215064|||||1987-08-13|0|4|SV51|SVS|||||WGS84-DMS|1000||2|||20|0|8||KL 04||ACRSCI|P|||2||||13.5|||||||||||||||||||||||||||||||0|||||||55.383333333|12.816666667|552300|124900|898|239|9|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||69|||||||69||||||||||||1126296|ringing|V 0534311|V 0534311|V 0534311|||V 0534311|||960||||1987-08-04||6|SF87||HELSIN||||WGS84-DMS|1000|||W||||||||ACRSCI||||+1|K|||16.9||||5||||||||||||||||||||||||||||||6678140|3390179|6675337|390054|60.2|25.016666667|601200|250100||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||71|||||||71|||||||||||
9282328|recovery|V 0506729|V 0506729|||| 5757314 ||244853|||||1989-08-02|0|17|ET00|ETM|||||WGS84-DMS|1000||2|||20|0|8||FAT 0   17 HRS RING MATSALU 5757314 ADDED||ACRSCI||||+1||||13||||0|||||||||||||||||||||||||||0|||||||58.1|24.48333333|580600|242900|234|184|748|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||68|||||||68||||||||||||1130497|ringing|V 0506729|V 0506729|V 0506729|||V 0506729|||888||||1987-07-16||6|SF87||ESPOO||||YKJ|100|||L||||||||ACRSCI||||+1|V|K|P|11.8||||0||||||||||||||||||||||||||||||6678200|3379200|6675397|379080|60.19743244|24.81882822|601150|244907||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||69|||||||69|||||||||||
9281952|recovery|V 0509088|V 0509088|||||T|192304|||||1986-09-06|0||BL21|BLB|||||WGS84-DMS|1000||2|||44|0|2||||ACRSCI|P|||1|||||||||||||||||||||||||||||||||||0|||||||50.683333333|4.85|504100|45100|1564|235|27|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all||||||||||||||||||||||||||||||||||||1131276|ringing|V 0509088|V 0509088|V 0509088|V 0509089||V 0509088|||447||||1986-08-10||10|SF86||HALIKK||||WGS84-DMS|1000|||V||||||||ACRSCI|||O|1|K|||||||||||||||||||||||||||||||||||||6701480|3284128|6698667|284046|60.366666667|23.083333333|602200|230500||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||||||||||||||||||||
10112438|recovery|V 0537265|V 0537265||||||344971|||||1992-09-27|0||BL27|BLB|||||WGS84-DMS|1000||2|||20|0|8||||ACRSCI||||1|||||||||||||||||||||||||||||||||||0|||||||51.066666667|4.033333333|510400|40200|1535|236|22|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all||||||||||||||||||||||||||||||||||||1138513|ringing|V 0537265|V 0537265|V 0537265|||V 0537265|||592||||1992-09-05||8|SF86||KAARIN||||YKJ|100|||W||||||||ACRSCI|||O|1|V|||12.1||49.6||0||||||||||||||||||||||||||B||||6708800|3240400|6705984|240336|60.40649737|22.283988|602423|221702||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
9294341|recovery|V 0654746|V 0654746|||| 1191555 ||223325|||||1988-08-23|0|6|ET00|ETM|||||WGS84-DMS|1000||2|||20|0|8||ACROCEPHALUS PALUSTRIS RING MATSALU 1191555 ADDED||ACRRIS|E||||||||||||||||||||||||||||||||||||||0|||||||58.41666667|26.06666667|582500|260400|207|162|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1191885|ringing|V 0654746|V 0654746|V 0654746|||V 0654746|||960||||1988-08-13||8|SF87||HELSIN||||WGS84-DMS|1000|||W||||||||ACRSCI||||1|K|||12.6||||3||||||||||||||||||||||||||||||6678140|3390179|6675337|390054|60.2|25.016666667|601200|250100||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2023-12-16|reprocess-all|||||||||||||||||70|||||||70|||||||||||
