Pop_ID	Longitude	Latitude	Sites	Variant_Sites	Polymorphic_Sites	Percent_Polymorphic_Loci	Num_Indv	P	Obs_Het	Obs_Hom	Exp_Het	Exp_Hom	Pi	Fis
DEDG	6.100	51.233	7057343	244446	134436	1.90491	5.97002	0.99618	0.00549	0.99451	0.00550	0.99450	0.00601	0.00124
DEMH	10.847	49.664	7013389	241665	156381	2.22975	8.95683	0.99614	0.00543	0.99457	0.00564	0.99436	0.00598	0.00155
DK	12.120	55.972	7071888	245288	164043	2.31965	9.92601	0.99608	0.00544	0.99456	0.00574	0.99426	0.00605	0.00177
EE	24.533	58.385	7074555	245512	164086	2.31938	9.92932	0.99606	0.00547	0.99453	0.00576	0.99424	0.00607	0.00177
ES	0.792	40.734	7064597	244981	159702	2.26060	9.93296	0.99612	0.00538	0.99462	0.00567	0.99433	0.00598	0.00172
FIE	25.599	60.342	7070070	245124	162948	2.30476	9.93015	0.99608	0.00545	0.99455	0.00574	0.99426	0.00604	0.00169
FIW	21.504	60.557	7059832	244229	123063	1.74314	4.96167	0.99625	0.00534	0.99466	0.00534	0.99466	0.00595	0.00136
LT	21.241	55.346	7067176	245162	165329	2.33939	9.93325	0.99608	0.00547	0.99453	0.00575	0.99425	0.00606	0.00172
PL	17.315	51.534	7073921	245482	165654	2.34176	9.93131	0.99607	0.00545	0.99455	0.00577	0.99423	0.00608	0.00181
RODD	28.872	44.632	7026750	242911	150997	2.14889	7.96508	0.99613	0.00550	0.99450	0.00564	0.99436	0.00602	0.00139
ROTR	23.899	46.966	7027197	242758	148244	2.10958	7.95698	0.99615	0.00540	0.99460	0.00559	0.99441	0.00597	0.00152
SE	13.476	55.700	7041066	242554	131584	1.86881	5.95165	0.99628	0.00523	0.99477	0.00536	0.99464	0.00586	0.00152
